Pais;Categoria;Subcategoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Ecuador;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;27.9;
Ecuador;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;19.7;
Ecuador;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;37.1;
Ecuador;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;30.2;
Ecuador;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Ecuador;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;26;
Ecuador;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;16.6;
Ecuador;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;33.4;
Ecuador;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;33.1;
Ecuador;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
